option,value,n,percent
autochdir,*default*,224,99%
autochdir,true,3,1%
autoindent,*default*,226,100%
autoindent,false,1,0%
autoread,*default*,225,99%
autoread,false,2,1%
autowrite,*default*,212,93%
autowrite,true,15,7%
autowriteall,*default*,222,98%
autowriteall,true,5,2%
background,*default*,208,92%
background,light,18,8%
background,,1,0%
backspace,*default*,216,95%
backspace,2,4,2%
backspace,"eol,start,indent",4,2%
backspace,"indent,eol,start,nostop",2,1%
backspace,3,1,0%
backup,*default*,207,91%
backup,true,20,9%
backupcopy,*default*,218,96%
backupcopy,yes,8,4%
backupcopy,"auto,breakhardlink",1,0%
backupext,*default*,225,99%
backupext,~%projects%lazy.nvim,1,0%
backupext,~~tmp~~2022-11-24-21-0,1,1%
belloff,*default*,226,100%
belloff,cursor,1,0%
breakat,*default*,222,98%
breakat,  ,1,0%
breakat," \t!@*-+;:,./=&?",1,0%
breakat," ^I!@*;:,./?(=",1,0%
breakat,",!:\\ \t?",1,1%
breakat,"\\ \\\t;:,!?",1,1%
breakindent,*default*,160,70%
breakindent,true,67,30%
breakindentopt,*default*,211,93%
breakindentopt,sbr,3,1%
breakindentopt,shift:2,3,1%
breakindentopt,"shift:2,min:20",3,1%
breakindentopt,list:-1,1,0%
breakindentopt,min:60,1,0%
breakindentopt,"sbr,shift:2",1,0%
breakindentopt,"shift:1,sbr",1,1%
breakindentopt,"shift:2,list:-1,min:30",1,1%
breakindentopt,shift:4,1,1%
breakindentopt,"shift:4,sbr",1,1%
cedit,*default*,226,100%
cedit,\15,1,0%
cindent,*default*,219,96%
cindent,true,8,4%
cinoptions,*default*,226,100%
cinoptions,"g0,N-s,E-s",1,0%
clipboard,unnamedplus,101,44%
clipboard,*default*,101,45%
clipboard,unnamed,15,7%
clipboard,"unnamed,unnamedplus",7,3%
clipboard,"unnamedplus,unnamed",3,1%
cmdheight,*default*,146,64%
cmdheight,0,56,25%
cmdheight,2,25,11%
cmdwinheight,*default*,223,98%
cmdwinheight,5,3,1%
cmdwinheight,1,1,1%
colorcolumn,*default*,152,67%
colorcolumn,80,17,8%
colorcolumn,+1,13,6%
colorcolumn,100,7,3%
colorcolumn,120,7,3%
colorcolumn,99999,5,2%
colorcolumn,"80,100",4,2%
colorcolumn,90,4,2%
colorcolumn,81,3,1%
colorcolumn,0,2,1%
colorcolumn,79,2,1%
colorcolumn,"80,120",2,1%
colorcolumn,"+1,120",1,0%
colorcolumn,140,1,0%
colorcolumn,"140,160",1,0%
colorcolumn,160,1,0%
colorcolumn,"32,72,80,120",1,0%
colorcolumn,66,1,0%
colorcolumn,"81,101",1,1%
colorcolumn,"81,121",1,1%
colorcolumn,89,1,1%
comments,*default*,218,96%
comments,"s1:/*,mb:*,ex:*/,://,b:#,:%,:XCOMM,n:>,fb:-,b:#,b:#:",8,4%
comments,"://,b:#,b:#:",1,0%
commentstring,*default*,225,99%
commentstring,# %s,2,1%
complete,*default*,210,93%
complete,".,w,b,u,t,kspell",3,1%
complete,,2,1%
complete,".,kspell",2,1%
complete,".,w,b,k",2,1%
complete,".,w,b,u",2,1%
complete,.,1,0%
complete,".,b,u",1,0%
complete,".,w",1,0%
complete,".,w,b,i,u,t,",1,0%
complete,".,w,b,t",1,1%
complete,".,w,b,u,kspell",1,1%
completefunc,*default*,221,98%
completefunc,v:lua.COQ.Omnifunc,3,1%
completefunc,v:lua.MiniCompletion.completefunc_lsp,3,1%
completeopt,*default*,69,31%
completeopt,"menu,menuone,noselect",57,25%
completeopt,"menuone,noselect",44,20%
completeopt,"menuone,noinsert,noselect",18,8%
completeopt,"menu,menuone",5,2%
completeopt,menu,3,1%
completeopt,"menu,menuone,noinsert,noselect",3,1%
completeopt,"menuone,noselect,noinsert",3,1%
completeopt,"menu,menuone,noinsert",2,1%
completeopt,"menu,menuone,noselect,preview",2,1%
completeopt,"menu,preview,noinsert,menuone,noselect",2,1%
completeopt,menuone,2,1%
completeopt,"menuone,longest",2,1%
completeopt,longest,1,0%
completeopt,"longest,menu",1,0%
completeopt,"longest,menuone,noselect,noinsert,menuone,noselect",1,0%
completeopt,"menu,longest",1,0%
completeopt,"menu,menuone,noselect,noinsert",1,0%
completeopt,"menu,menuone,preview,noselect",1,0%
completeopt,"menu,noinsert,menuone,noselect",1,0%
completeopt,"menu,noselect",1,0%
completeopt,"menu,preview,menuone",1,0%
completeopt,"menuone,noinsert",1,1%
completeopt,"menuone,noinsert,noselect,preview",1,1%
completeopt,"menuone,noselect,menu",1,1%
completeopt,"menuone,noselect,noinsert,noinsert,menuone,noselect",1,1%
completeopt,"menuone,preview",1,1%
completeopt,"noselect,noinsert,menuone,preview",1,1%
concealcursor,*default*,212,94%
concealcursor,nc,5,2%
concealcursor,inc,3,1%
concealcursor,n,3,1%
concealcursor,niv,2,1%
concealcursor,i,1,0%
concealcursor,ic,1,1%
conceallevel,*default*,196,86%
conceallevel,2,27,12%
conceallevel,3,3,1%
conceallevel,1,1,1%
confirm,*default*,202,89%
confirm,true,25,11%
copyindent,*default*,220,97%
copyindent,true,7,3%
cpoptions,*default*,222,98%
cpoptions,_aABesFnc,1,0%
cpoptions,_FcnaesBA,1,0%
cpoptions,aABceFs,1,0%
cpoptions,aABceFs_n,1,1%
cpoptions,eFs_ncaAB,1,1%
cursorcolumn,*default*,215,95%
cursorcolumn,true,12,5%
cursorline,true,150,66%
cursorline,*default*,77,34%
cursorlineopt,*default*,215,95%
cursorlineopt,number,8,4%
cursorlineopt,line,1,0%
cursorlineopt,"number,screenline",1,0%
cursorlineopt,screenline,1,0%
cursorlineopt,"screenline,number",1,1%
define,*default*,225,99%
define,,2,1%
diffopt,*default*,173,77%
diffopt,"internal,filler,closeoff,linematch:60",9,4%
diffopt,"internal,filler,closeoff,vertical",4,2%
diffopt,"internal,filler,closeoff,algorithm:patience",2,1%
diffopt,"internal,filler,closeoff,algorithm:patience,indent-heuristic",2,1%
diffopt,vertical,2,1%
diffopt,"vertical,filler,closeoff,context:3,internal,indent-heuristic,algorithm:histogram",2,1%
diffopt,"filler,internal,algorithm:histogram,indent-heuristic",1,0%
diffopt,"filler,internal,algorithm:histogram,indent-heuristic,vertical",1,0%
diffopt,"filler,internal,algorithm:patience,indent-heuristic,closeoff,iwhite",1,0%
diffopt,"filler,iwhite",1,0%
diffopt,"filler,iwhite,internal,algorithm:patience",1,0%
diffopt,"filler,vertical,iwhite",1,0%
diffopt,"hiddenoff,iwhiteall,algorithm:patience",1,0%
diffopt,"internal,filler,algorithm:patience,indent-heuristic,closeoff,linematch:120",1,0%
diffopt,"internal,filler,closeoff,algorithm:histogram,indent-heuristic,linematch:60",1,0%
diffopt,"internal,filler,closeoff,algorithm:histogram,iwhite,indent-heuristic,vertical,linematch:60",1,0%
diffopt,"internal,filler,closeoff,algorithm:patience,indent-heuristic,vertical",1,0%
diffopt,"internal,filler,closeoff,algorithm:patience,indent-heuristic,vertical,context:3",1,0%
diffopt,"internal,filler,closeoff,algorithm:patience,iwhite",1,0%
diffopt,"internal,filler,closeoff,algorithm:patience,vertical",1,0%
diffopt,"internal,filler,closeoff,context:0,indent-heuristic,hiddenoff,foldcolumn:1,algorithm:patience",1,0%
diffopt,"internal,filler,closeoff,context:3",1,0%
diffopt,"internal,filler,closeoff,context:5,vertical,linematch:100",1,0%
diffopt,"internal,filler,closeoff,hiddenoff,algorithm:minimal",1,0%
diffopt,"internal,filler,closeoff,hiddenoff,algorithm:minimal,linematch:60",1,0%
diffopt,"internal,filler,closeoff,horizontal",1,0%
diffopt,"internal,filler,closeoff,internal,algorithm:patience,vertical",1,1%
diffopt,"internal,filler,closeoff,iwhite",1,1%
diffopt,"internal,filler,closeoff,iwhite,internal,algorithm:patience,linematch:60",1,1%
diffopt,"internal,filler,closeoff,linematch:50",1,1%
diffopt,"internal,filler,closeoff,linematch:75",1,1%
diffopt,"internal,filler,closeoff,vertical,algorithm:histogram,indent-heuristic",1,1%
diffopt,"internal,filler,closeoff,vertical,algorithm:histogram,indent-heuristic,hiddenoff",1,1%
diffopt,"internal,filler,closeoff,vertical,algorithm:histogram,indent-heuristic,linematch:60",1,1%
diffopt,"internal,filler,closeoff,vertical,indent-heuristic,algorithm:histogram,linematch:60,hiddenoff",1,1%
diffopt,"internal,filler,closeoff,vertical,indent-heuristic,algorithm:patience",1,1%
diffopt,"internal,filler,closeoff,vertical,linematch:60",1,1%
diffopt,"internal,filler,vertical,algorithm:patience",1,1%
diffopt,"vertical,closeoff",1,1%
display,*default*,223,98%
display,"lastline,uhex",2,1%
display,"lastline,msgsep",1,0%
display,"lastline,msgsep,uhex",1,1%
eadirection,*default*,226,100%
eadirection,hor,1,0%
emoji,*default*,224,99%
emoji,false,3,1%
endoffile,*default*,85,84%
endoffile,false,16,16%
equalalways,*default*,217,96%
equalalways,false,10,4%
errorbells,*default*,226,100%
errorbells,true,1,0%
errorformat,*default*,226,100%
errorformat,"%\\s%#%\\d%#:%# %#from %f:%l:%m,IN %f:%l:%m,,%*[^\""]\""%f\""%*\\D%l: %m,\""%f\""%*\\D%l: %m,%-G%f:%l: (Each undeclared identifier is reported only once,%-G%f:%l: for each function it appears in.),%-GIn file included from %f:%l:%c:,%-GIn file included from %f:%l:%c\\,,%-GIn file included from %f:%l:%c,%-GIn file included from %f:%l,%-G%*[ ]from %f:%l:%c,%-G%*[ ]from %f:%l:,%-G%*[ ]from %f:%l\\,,%-G%*[ ]from %f:%l,%f:%l:%c:%m,%f(%l):%m,%f:%l:%m,\""%f\""\\, line %l%*\\D%c%*[^ ] %m,%D%*\\a[%*\\d]: Entering directory %*[`']%f',%X%*\\a[%*\\d]: Leaving directory %*[`']%f',%D%*\\a: Entering directory %*[`']%f',%X%*\\a: Leaving directory %*[`']%f',%DMaking %*\\a in %f,%f|%l| %m",1,0%
eventignore,*default*,201,89%
eventignore,"CursorHoldI,CursorHold",14,6%
eventignore,"CursorHold,CursorHoldI",12,5%
expandtab,true,187,83%
expandtab,*default*,39,17%
expandtab,false,1,0%
exrc,*default*,218,96%
exrc,true,9,4%
fileencoding,*default*,184,81%
fileencoding,utf-8,43,19%
fileencodings,*default*,218,96%
fileencodings,"ucs-bom,utf-8,cp936,gb18030,big5,euc-jp,euc-kr,latin1",2,1%
fileencodings,"ucs-bom,utf-8,default,cp1252,latin1",1,0%
fileencodings,"ucs-bom,utf-8,gbk,gb18030,big5,euc-jp,latin1",1,0%
fileencodings,utf-8,1,0%
fileencodings,"utf-8,cp1251",1,0%
fileencodings,"utf-8,cp949,latin1",1,1%
fileencodings,"utf-8,iso-2022-jp,euc-jp,sjis,utf-16,utf-16le,gb2312",1,1%
fileencodings,"utf-8,ucs-bom,gbk,cp936,big5,latin-1",1,1%
fileformat,*default*,225,99%
fileformat,unix,2,1%
fileformats,*default*,217,96%
fileformats,"unix,dos,mac",4,2%
fileformats,"unix,mac,dos",3,1%
fileformats,unix,2,1%
fileformats,"unix,dos",1,0%
fileignorecase,*default*,225,99%
fileignorecase,true,2,1%
fillchars,*default*,131,59%
fillchars,eob: ,22,10%
fillchars,fold: ,18,8%
fillchars,vert:│,4,2%
fillchars,"horiz:━,horizdown:┳,horizup:┻,vert:┃,verthoriz:╋,vertleft:┨,vertright:┣",3,1%
fillchars,diff:╱,2,1%
fillchars,"eob: ,fold: ",2,1%
fillchars,"fold: ,vert:│,eob: ,msgsep:‾",2,1%
fillchars,"horiz:━,horizdown:┳,horizup:┻,vert:┃,verthoriz:╋,vertleft:┫,vertright:┣",2,1%
fillchars,"vert:│,fold: ",2,1%
fillchars,diff: ,1,0%
fillchars,"diff: ,fold: ,eob: ,vert: ,horiz: ,lastline:•",1,0%
fillchars,"diff:―,eob: ,fold: ,horiz: ,horizdown: ,horizup: ,vert: ,verthoriz: ,vertleft: ,vertright: ",1,0%
fillchars,"diff:/,eob: ",1,0%
fillchars,"diff:/,eob: ,fold: ,horiz:─,horizdown:┬,horizup:┴,vert:│,verthoriz:┼,vertleft:┤,vertright:├",1,0%
fillchars,"diff:/,fold: ",1,0%
fillchars,"diff:─,vert: ",1,0%
fillchars,"diff:╱,eob: ",1,0%
fillchars,"diff:╱,eob: ,fold: ,foldclose:,foldopen:,foldsep: ",1,0%
fillchars,"diff:╱,eob: ,fold: ,foldclose:,foldopen:,horiz:─,horizdown:┬,horizup:┴,vert:│,verthoriz:┼,vertleft:┤,vertright:├",1,0%
fillchars,"diff:╱,eob: ,fold: ,vert:│",1,0%
fillchars,"diff:╱,eob: ,foldclose:▸,foldopen:▾,foldsep:│,msgsep:‾",1,0%
fillchars,"diff:╱,horiz:━,horizdown:┳,horizup:┻,vert:┃,verthoriz:╋,vertleft:┫,vertright:┣,fold: ",1,0%
fillchars,"diff:⣿,eob: ,fold:─,foldclose:▸,foldopen:▾,foldsep:│,msgsep:‾,vert:┃",1,0%
fillchars,"diff:⣿,vert:│",1,0%
fillchars,"diff:,eob: ,fold: ",1,0%
fillchars,"eob: ,diff: ",1,0%
fillchars,"eob: ,fold: ,foldclose:,foldopen:",1,0%
fillchars,"eob: ,fold: ,foldclose:,foldopen:,foldsep: ",1,0%
fillchars,"eob: ,fold: ,foldclose:,foldopen:,foldsep: ,horiz:━,horizdown:┳,horizup:┻,vert:┃,verthoriz:╋,vertleft:┫,vertright:┣",1,0%
fillchars,"eob: ,fold: ,foldopen:,foldsep: ,foldclose:,stlnc:-,vert:|",1,0%
fillchars,"eob: ,fold: ,horiz:━,horizdown:┳,horizup:┻,vert:┃,verthoriz:╋,vertleft:┫,vertright:┣",1,0%
fillchars,"eob: ,foldsep: ,foldopen:,foldclose:",1,0%
fillchars,"eob: ,horiz: ,horizdown: ,horizup: ,vert: ,verthoriz: ,vertleft: ,vertright: ",1,0%
fillchars,eob:~,1,1%
fillchars,"eob:~,vert:│",1,1%
fillchars,"fold: ,horiz:━,horizdown:┳,horizup:┻,vert:┃,verthoriz:╋,vertleft:┫,vertright:┣",1,1%
fillchars,"fold: ,vert:│",1,1%
fillchars,"foldclose:,foldopen:,fold: ",1,1%
fillchars,"foldclose:,foldopen:,foldsep: ,fold: ",1,1%
fillchars,"horiz:═,horizdown:╦,horizup:╩,vert:║,verthoriz:╬,vertleft:╣,vertright:╠,fold: ",1,1%
fillchars,msgsep:◌,1,1%
fillchars,"stl:―,stlnc:—,vert:│,fold:۰,diff:·",1,1%
fillchars,"stl:─,stlnc:─",1,1%
fillchars,vert: ,1,1%
fillchars,"vert: ,stl: ,stlnc: ",1,1%
fillchars,"vert: ,vertleft: ,vertright: ,horiz: ,horizup: ,horizdown: ,verthoriz: ",1,1%
fillchars,vert:|,1,1%
fillchars,"vert:│,stl: ,stlnc: ,fold:-,diff:-",1,1%
fixendofline,*default*,220,97%
fixendofline,false,7,3%
foldclose,*default*,226,100%
foldclose,all,1,0%
foldcolumn,*default*,208,92%
foldcolumn,1,16,7%
foldcolumn,auto,2,1%
foldcolumn,2,1,0%
foldenable,*default*,196,86%
foldenable,false,31,14%
foldexpr,*default*,168,74%
foldexpr,nvim_treesitter#foldexpr(),55,24%
foldexpr,,3,1%
foldexpr,utils#VimFolds(v:lnum),1,1%
foldlevel,*default*,141,62%
foldlevel,99,55,24%
foldlevel,20,6,3%
foldlevel,1,5,2%
foldlevel,10,5,2%
foldlevel,999,3,1%
foldlevel,100,2,1%
foldlevel,2,2,1%
foldlevel,3,2,1%
foldlevel,10000,1,0%
foldlevel,100000,1,0%
foldlevel,15,1,0%
foldlevel,18,1,1%
foldlevel,4,1,1%
foldlevel,666,1,1%
foldlevelstart,*default*,183,81%
foldlevelstart,99,35,16%
foldlevelstart,20,2,1%
foldlevelstart,0,1,0%
foldlevelstart,1,1,0%
foldlevelstart,10,1,0%
foldlevelstart,100,1,0%
foldlevelstart,2,1,0%
foldlevelstart,3,1,1%
foldlevelstart,999,1,1%
foldmarker,*default*,226,100%
foldmarker,"/*,*/",1,0%
foldmethod,*default*,135,59%
foldmethod,expr,54,24%
foldmethod,marker,17,8%
foldmethod,indent,16,7%
foldmethod,syntax,5,2%
foldminlines,*default*,223,98%
foldminlines,10,2,1%
foldminlines,0,1,0%
foldminlines,4,1,1%
foldnestmax,*default*,204,90%
foldnestmax,3,11,5%
foldnestmax,10,6,3%
foldnestmax,1,3,1%
foldnestmax,2,1,0%
foldnestmax,4,1,0%
foldnestmax,5,1,1%
foldopen,*default*,218,96%
foldopen,"block,hor,mark,percent,quickfix,search,tag,undo,jump",5,2%
foldopen,"hor,mark,percent,quickfix,search,tag,undo",2,1%
foldopen,"block,hor,mark,percent,quickfix,search,tag,undo,insert,jump",1,0%
foldopen,"mark,percent,quickfix,search,tag,undo,insert,jump",1,1%
foldtext,*default*,175,78%
foldtext,v:lua.require'ufo.main'.foldtext(),25,11%
foldtext,v:lua.require('pretty-fold').foldtext.global(),9,4%
foldtext,FoldText(),3,1%
foldtext,MyFoldText(),2,1%
foldtext,"substitute(getline(v:foldstart),'\\\\t',repeat('\\ ',&tabstop),'g').'...'.trim(getline(v:foldend)) . ' (' . (v:foldend - v:foldstart + 1) . ' lines)'",2,1%
foldtext,"'v:lua.stevearc.foldtext()"")'",1,0%
foldtext,CustomFoldText(),1,0%
foldtext,NeatFoldText(),1,0%
foldtext,"substitute(getline(v:foldstart),'\\\\t',repeat('\\ ',&tabstop),'g'). '  [' . (v:foldend - v:foldstart + 1) . ']'",1,0%
foldtext,"substitute(getline(v:foldstart),'\\\\t',repeat('\\ ',&tabstop),'g').' ... '.trim(getline(v:foldend)).' ('.(v:foldend-v:foldstart).' lines folded...)'",1,0%
foldtext,"substitute(getline(v:foldstart),'\\\\t',repeat('\\ ',&tabstop),'g').'...'.trim(getline(v:foldend)) ",1,0%
foldtext,utils#MyFoldText(),1,0%
foldtext,v:lua.custom_fold_text(),1,1%
foldtext,v:lua.foldtext2(),1,1%
foldtext,v:lua.MyFoldText(),1,1%
foldtext,v:lua.require('fold').foldtext(),1,1%
formatexpr,*default*,226,100%
formatexpr,CocAction('formatSelected'),1,0%
formatlistpat,*default*,225,99%
formatlistpat,\\C^\\s*[\\[({]\\?\\([0-9]\\+\\|[iIvVxXlLcCdDmM]\\+\\|[a-zA-Z]\\)[\\]:.)}]\\s\\+\\|^\\s*[-+o*]\\s\\+,1,0%
formatlistpat,^\\s*[0-9\\-\\+\\*]\\+[\\.\\)]*\\s\\+,1,1%
formatoptions,*default*,176,79%
formatoptions,tqj,3,1%
formatoptions,,2,1%
formatoptions,cqjt,2,1%
formatoptions,jcroql,2,1%
formatoptions,qjt,2,1%
formatoptions,12,1,0%
formatoptions,1jcroql,1,0%
formatoptions,1jql,1,0%
formatoptions,1toqcj,1,0%
formatoptions,cqj,1,0%
formatoptions,cqrnj,1,0%
formatoptions,cqrt,1,0%
formatoptions,cqtrj,1,0%
formatoptions,crjqn,1,0%
formatoptions,crjqt1n,1,0%
formatoptions,croqlj,1,0%
formatoptions,crqljn,1,0%
formatoptions,crqn2lj,1,0%
formatoptions,crqnj,1,0%
formatoptions,jcroqlmB,1,0%
formatoptions,jcroqlnt,1,0%
formatoptions,jcrql,1,0%
formatoptions,jmMcql,1,0%
formatoptions,jqlc12,1,0%
formatoptions,jqrnc,1,0%
formatoptions,jqt,1,0%
formatoptions,jtq,1,0%
formatoptions,jtqlnr,1,0%
formatoptions,lc2nq,1,0%
formatoptions,ljq,1,1%
formatoptions,ncqjr1t,1,1%
formatoptions,nljqrc,1,1%
formatoptions,o1jqrlc,1,1%
formatoptions,qct,1,1%
formatoptions,qn1,1,1%
formatoptions,rjncq,1,1%
formatoptions,rqnlj,1,1%
formatoptions,tcqjl,1,1%
formatoptions,tcqjmM,1,1%
formatoptions,tcqjn,1,1%
formatoptions,tcqn2vlB1j,1,1%
formatoptions,tcqnw1,1,1%
formatoptions,tcrnj,1,1%
formatoptions,tcrqn1j,1,1%
formatoptions,tqjn,1,1%
fsync,*default*,225,99%
fsync,true,2,1%
gdefault,*default*,206,91%
gdefault,true,21,9%
grepformat,*default*,197,87%
grepformat,%f:%l:%c:%m,16,7%
grepformat,"%f:%l:%c:%m,%f:%l:%m",10,5%
grepformat,"%f:%l:%c:%m,%f:%l:%m,%f:%l%m,%f  %l%m",3,1%
grepformat,"%f:%l:%m,%m %f match%ts,%f",1,0%
grepprg,*default*,182,81%
grepprg,rg --vimgrep,13,6%
grepprg,rg --vimgrep --no-heading --smart-case,7,3%
grepprg,rg --vimgrep --no-heading,4,2%
grepprg,rg --hidden --vimgrep --smart-case --,3,1%
grepprg,rg --vimgrep --smart-case,3,1%
grepprg,"'rg --hidden --glob ""!.git"" --no-heading --smart-case --vimgrep --follow $*'",1,0%
grepprg,git --no-pager grep --no-color -n $*,1,0%
grepprg,rg --no-heading --vimgrep,1,0%
grepprg,rg --no-heading --vimgrep --smart-case,1,0%
grepprg,rg --no-ignore --no-heading --color never -n $*,1,0%
grepprg,rg --smart-case --color=never --no-heading -H -n --column,1,0%
grepprg,rg --smart-case --vimgrep --hidden,1,0%
grepprg,rg --vimgrep --hidden,1,0%
grepprg,rg --vimgrep --no-heading --hidden,1,0%
grepprg,rg --vimgrep --smart-case --hidden,1,1%
grepprg,rg --vimgrep --smart-case --hidden --follow,1,1%
grepprg,rg --vimgrep -S,1,1%
grepprg,rg -i --vimgrep $*,1,1%
grepprg,rg -S --vimgrep $*,1,1%
grepprg,rg\\ --vimgrep\\ --smart-case\\ --follow,1,1%
guicursor,*default*,170,75%
guicursor,a:NoiceHiddenCursor,27,12%
guicursor,,7,3%
guicursor,"n-v-c:block-Cursor/lCursor-blinkon0,i-ci:ver25-Cursor/lCursor,r-cr:hor20-Cursor/lCursor",3,1%
guicursor,"n-v-c:block-Cursor/lCursor,i-ci-ve:ver25-Cursor2/lCursor2,r-cr:hor20,o:hor20",2,1%
guicursor,"n-v-c:block,i-ci-ve:ver25,r-cr:hor20,o:hor50,a:blinkwait700-blinkoff400-blinkon250-Cursor/lCursor,sm:block-blinkwait175-blinkoff150-blinkon175",2,1%
guicursor,"a:blinkwait700-blinkoff500-blinkon500,n-c-sm:block-Cursor,v:VCursor,i-ci-ve:ver25-ICursor,r-cr-o:hor20-RCursor",1,0%
guicursor,a:block-Caret,1,0%
guicursor,"a:block,i:ver25,v:hor10,r-cr-o:hor20",1,0%
guicursor,"a:Cursor,n-v-c-sm:block,i-ci-ve:ver25,r-cr-o:hor20,i-ve-r-cr-o:blinkoff500-blinkon500",1,0%
guicursor,"i-ci-ve:ver25,r-cr:hor20,o:hor50,a:blinkwait700-blinkoff500-blinkon500,sm:block-blinkwait175-blinkoff150-blinkon175,v-sm:block-ModesVisual,i-ci-ve:ver25-ModesInsert,r-cr-o:hor20-ModesOperator",1,0%
guicursor,i:ver25-VimrInsertCursor,1,0%
guicursor,n-v-c-sm-i-ci-ve-r-cr-o:block,1,0%
guicursor,"n-v-c-sm:block,i-ci-ve:ver25,r-cr-o:hor20,a:blinkwait700-blinkoff400-blinkon250-Cursor/lCursor",1,0%
